67,"APT Advanced Polymer Tubing ","Jagenbergstr. 7",Neuss,41468,"02131 71 89980",,hildegard.pesch@aptubing.de
68,"Architekturbüro Bieber","Hagener Str. 31",Dortmund,44225,"0231 79227720",,
69,"Arthro Care","Berghauser Straße 62",Remscheid,42859,"02191 933420",,
70,"DEVK Versicherungen","Friedrich-Engels-Allee 20",Wuppertal,42103,,,
71,"Stadtverwaltung Langenfeld","Konrad-Adenauer-Platz 1",Langenfeld,40764,02173-7941800,,
72,"ASDO Anker Schröder","Hannöversche Straße 48",Dortmund,44143,"0231 5 17 01-30",,"post@anker.de "
73,"Asia-Pacific Management Consulting","Königsallee 28",Düsseldorf,40212,"0211-82 89 42 0",,APMC@asia-pacific.de
74,"Atelco Computer","Dieselweg 6",Möhnesee,59519,"0)2924 / 99-00 ",,webmaster@atelco.de
75,"Atos Origin ","Luxemburger Straße 3",Essen,45133,0201-43059095,,
76,Audalis,"Rheinlanddamm 199",Dortmund,44139,0231.2255-500,,dortmund@audalis.de
79,"Avantgarde Business Solutions GmbH","Habichtweg 21",Neuss,41468,02131-7949-0,02131-7949-79," office@avantgar.de"
80,AVU,"An der Drehbank 18",Gevelsberg,58285,02332/73-0,02332/73-600," info@avu.de"
81,Axians," Emil-Figge-Straße 86",Dortmund,44227,"0231 72592 0",,
82,"Bach, Langheid & Dallmayr","Theodor-Heuss-Ring 13-15",Köln,50668,"0221 944027-0",,
83,"Oerlikon Barmag-Saurer ","Leverkuser Straße 65",Remscheid,42897,"02191 67-0",,info.barmag@oerlikon.com
84,"Barmenia Krankenversicherung auf Gegenseitigkeit","Barmenia-Allee 1",Wuppertal,42119," 0202 438-00",,"info@barmenia.de "
85,"BBM Akustik","Alexanderstraße 50",Mülheim,45472,(0)208-62524-0,,info.muelheim@bbm-akustik.de
86,"BBORS Kreuznacht Rechtsanwälte","Sperlichstraße 10",Münster,48151,"0251 20803  0",,rechtsanwaelte@bbors-kreuznacht.de
87,"Bechtle GmbH & Co. KG IT-Systemhaus Duisburg","Düsseldorfer Landstr. 17",Duisburg,47249,"0203 - 998080","0203 99808-96",info@bechtle.com
88,"Becker Büttner Held Rechtsanwälte","KAP am Südkai Agrippinawerft 30 "," Köln",50678,"0221 650 25-0",,bbh@bbh-online.de
89,"Beckmann – Volmer ","Holsterfeld 24",Salzbergen,"48499 ","0 59 71 / 80 04-0",,"info@beckmann-volmer.de "
90,"Belfor Dehade ","Wittekindstrasse 99 ",Hamm,59075,"(0)2381-973100 ",,dehade@de.belfor.com
91,"BELFOR Europe","Keniastraße 24",Duisburg,47269,,,
93,"B. Braun Melsungen AG","Carl-Braun-Straße 1",Melsungen,"34212 ","05661 71- 0","05661 71- 45 67",info@bbraun.de
94,"Ball Packing Holding GmbH & Co KG","Kaiserswerther Str. 115",Ratingen,40880,"02102 130 0","02102 130 130",webmaster.europe@ball.com
95,"BDP International GmbH","Fritz Klatte Str. 6-8",Frankfurt,65933,"069 - 3510 140","069 - 3510 14 495",fra@bdpint.de
96,"BITMARCK Vertriebs- und Projekt GmbH","Brunnenstr. 15-17",Essen,45128,"0201 / 365690",,
97,"Bogestra AG","Universitätsstraße 58",Bochum,44789,"0234 303 0","0234 303 23 00 ",info@bogestra.de
98,"BP Europa SE","Wittener Str. 45",Bochum,44789,"0234 - 315 0","0234 - 315 2679",
99,"CaveCo GmbH","Heinrich-Held-Str. 37",Essen,45133,"0201 - 84 201 30","0201 - 84 201 930",info@caveco.de
100,"Codecentric AG","Kölner Landstr. 1",Düsseldorf,40591,"0211 - 99414-0","0211 - 99414-44","info@codecentric.de "
101,"Comvendo GmbH","Centroallee 283",Oberhausen,46047,"0208 - 94 00-0","0208 - 94 00-200"," info@comvendo.de"
102,"Concentrade GmbH","Martin-Schmeißer-Weg 18",Dortmund,44227,"0231 - 5336-0","0231 - 5336-200",info@concentrade.com
48,"Schenker AG","Alfredstr. 61",Essen,45130," 0201 - 8781-0 ","0201 - 8781-8495",info@dbschenker.com
104,"DOKOM Gesellschaft für Telekommunikation mbH","Stockholmer Allee 24",Dortmund,44269,"0231 - 930-10 50","0231 - 930-10 54"," info@dokom21.de"
105,"Soziale Dienste Kreisverband Witten gGmbH","Annenstr. 9",Witten,58453,"02302 - 91016-0","02302 - 91016-16",info@drk-witten.de
106,"DS Smith Rhein Display GmbH","An der Gümpgenbrücke 13",Kaarst,41564,"021 31 - 795 80 0","021 31 - 66 75 65",contact.kaarst@dssmith.eu
107,"DSW 21 - Dortmunder Stadtwerke AG","Deggingstraße 40",Dortmund,44141,"0231 - 9 55-00",,posteingang@dsw21.de
108,"Europäisches Bildungszentrum der Wohnungs- und Immobilienwirtschaft (EBZ)- gemeinnützige Stiftung","Springorumallee 20",Bochum,44795,"0234 - 9447 0 ","0234 - 9447 199"," info@e-b-z.de "
109,"E.ON Climate & Renewables GmbH","Brüsseler Platz 1",Essen,45131,"0201 - 18400",,info@eon.com
110,"ETABO Energietechnik und Anlagenservice GmbH","Harpener Feld 16",Bochum,44805,"0234 - 5067-0","0234 - 5067-173",kontakt@eta-bochum.de
113,"Fressnapf Holding GmbH","Westpreußenstr. 32 - 38",Krefeld,47809,"0800 - 1990 990",,info@fressnapf.de
114,"Landesverband Gartenbau Rheinland e.V.","Amsterdamer Str. 206",Köln,"50735 ","0221 - 7151 00","0221 - 7151 031",info@gartenbau-rheinland.de
116,"Hospitaltechnik Planungsgesellschaft mbH","Hohenzollernstr. 11 ",Krefeld,47799," 02151 - 9597 0 ","02151 - 9597 10 ",info@ht-hospitaltechnik.de
117,"ICOM Software Research oHG","Martin-Schmeißer-Weg 11",Dortmund,44227,"02 31 / 55 69 91-0","02 31 / 55 69 91-13 ",Info@ICOMSoftware.de
118,"Impuls Personal GmbH Niederlassung Köln","Marzellenstraße 1",Köln,50667,"0221 - 27 26 1-6",,Info@Impuls-Personal.de
119,"KIK Textilien und Non Food GmbH","Siemensstraße 21",Bönen,59199,"02383 / 95-40","02383 / 95-4130",info@kik-textilien.de
120,BEMA,"Wiebelsheidestraße 20",Arnsberg,59757,02932-973841,,info@bema-gmbh.com
121,"Bender & Bender","Bahnhofstr. 126",Altenkirchen,57610,02681-9826260,,
122,"Benteler Distribution Deutschland GmbH & Co. KG","Am Schlütershof 30 ",Duisburg,47059,"0203 99 34 - 0 ",,distribution.duisburg@benteler.com
123,Betafence,"Runtestr. 4-9",Werl,59457,"02922 989 145",,
124,"ALYSS Software GmbH","Revierstraße 10",Dortmund,44379,"(0231) –  72 54 94 -0 ","(0231) 72 54 94 14"," info@alyss.de "
125,"antilo / Marke der net-and-phone GmbH","An der Palmweide 55",Dortmund,44225,"0231 177205 0 I10",,info@antilo.de
126,"Bilfinger Berger Hochbau GmbH","Schnabelstraße 11",Essen,45134,0201-1707311,,info@hochbau.bilfinger.com
128,"bee Baastrup EDV-Entwicklung GmbH","Schwanenwall 40",Dortmund,44135,"(0231) 58719 - 0","(0231) 58719 - 50",info@bee.de
129,"Bilfinger Gerber GmbH","Revierstr. 3",Dortmund,44379,"(0) 231 9952 0",,info.gerber@bilfinger.com
130,"Bird & Bird LLP","Carl-Theodor-Straße 6",Düsseldorf,40213,"0211 2005 6000","0211 2005 6011",duesseldorf@twobirds.com
131,"Borm Informatik GmbH","Wellinghofer Amtsstrasse 31",Dortmund,44265,"0231 56 784 60","0231 56 784 610",
133,"Döllken-Kunststoffverarbeitung GmbH ","Beisenstr. 50",Gladbeck,45964,02043/979-0,02043/979-630,info@doellken.com
134,"Kloepfel Consulting GmbH","Pempelforter Straße 50",Düsseldorf,40211,"0211 / 882 594 0","0211 / 882 594 20",info@kloepfel-consulting.com
135,"Küppersbusch Großküchentechnik  GmbH & Co. KG ","Küppersbuschstrasse 2",Gelsenkirchen,45883,"0209 / 401-0","0209 / 401 539 "," juergen.schnoerch@kueppersbusch.de"
136,"Masterflex SE","Willy-Brandt-Allee 300",Gelsenkirchen,45891,"49 (0)209 - 97077-0",,info@masterflex.de
137,"maximago GmbH","Am Brambusch 24",Lünen,44536,"(0) 231 58 69 67-0","(0) 231 58 69 67-90"," info@maximago.de"
138,"O-I GLASSPACK GmbH & Co. KG ","Goethestrasse 75",Düsseldorf,40237,"(0) 211 2809 - 0",,
139,"Porta IT-Service GmbH & Co. KG","Bakenweg 16 – 20","Porta Westfalica",32457,"01805 – 686766",,
140,"Posiflex GmbH","Kaiserswerther Str. 85",Ratingen,40878,"49 (0) 2102 / 71465 - 0","49 (0) 2102 / 71465 - 22",info@posiflex.de
141,"PPG Coatings Deutschland GmbH ","An der Halde 1",Bochum,44805," +49 234 - 869-0","+49 234 - 869-358"," info@sigmacoatings.de"
142,"CSG Pradtke GmbH","Kirchharpener Straße 46",Bochum,44805,0234-45984-0,0234-45984-66," info@csg-pradtke.de"
143,"proLogistik GmbH + Co KG ",www.proLogistik.com,Dortmund,44369,"49 (0) 231 5194-0","49 (0) 231 5194-94 ",info@proLogistik.com
144,"PRIMAGAS Energie GmbH & Co. KG","Luisenstraße 113",Krefeld,47799,"02151 / 852-0","02151 / 852-270",info@primagas.de
145,"PROvendis GmbH ","Schloßstraße 11-15","Mülheim an der Ruhr",45468,"(0)208 / 94105-0","49 (0)208 / 94105-50",kontakt@provendis.info
146,"RAG Aktiengesellschaft","Shamrockring 1",Herne,44263,"(02323) 15-0","(02323) 15-2020",post@rag.de
147,"REIMANN OSTERRIETH KÖHLER HAFT Partnerschaftsgesellschaft","Steinstraße 20",Düsseldorf,40212,"49 (0)211 550 220 ","49 (0)211 550 22 550","contact@rokh-ip.com "
148,"TNT Innight GmbH & Co. KG","Besselstraße 12",Mannheim,"68219 ","+49 621 8 77 87-0",,info@tntinnight.de
149,"Vaillant Deutschland GmbH & Co. KG","Berghauser Str. 40 ",Remscheid,42859,"02191 18-0 ","02191 18-2810","info@vaillant.de "
150,"VISUS Technology Transfer GmbH ","Universitätsstr. 136 ",Bochum,44799,"49 234 93693-0 ","49 234 93693-199 ","  info@visus.com "
151,"Hasenkamp GmbH","Verkehrsstraße 49",Bochum,44809,"0234 53 10 50","0234 53 80 27",info@hasenkamp-bochum.de
152,"ASB Informationstechnik GmbH","Buschstr. 76",Duisburg-Hamborn,"47166 ","0203 93297-0","0203 314289",asbinfo@asbinfo.de
153,"HOCHTIEF Aktiengesellschaft ","Opernplatz 2",Essen,45128,"0201 824-0 ","0201 824-2777 ",info@hochtief.de
154,"Fenne Baugesellschaft mbH","Bogenstraße 28-30",Gladbeck,45966," 0 20 43 / 40 04-0","0 20 43 / 40 04-30",info@fenne-bau.de
155,"purpleview GmbH","Lindemannstraße 78",Dortmund,44137,"49 231 55 74 02 0","49 231 55 74 02 99",info@purpleview.de
156,"Zenker Zahntechnik GmbH","Löwenstraße 31a",Dortmund,44135,"(0231) 572265",,zenkerzahntechnik@web.de
157,"Carl Hinnerwisch Verlag GmbH & Co. KG","Handwerkerstr. 3",Hagen-Haspe,58135,"02331 - 9080-00","02331 - 9080-10",info@hinnerwisch.de
158," E.ON Anlagenservice GmbH","Bergmannsglückstr. 41-43",Gelsenkirchen,45896,"0209 6015289",,info@eon.com
159,"Westfalen-Informatik AG","Emil-Figge Straße 86-90",Dortmund,44227," 02 31 / 77 70 - 0","02 31 / 77 70 - 133",info@wi-ag.de
160,"vision4health Deutschland GmbH & Co. KG","Schlaraffiastr. 1",Bochum,44867,"49 2327 944 600","+49 2327 944 699",
161,"unique Technische Dokumentation + Kommunikation GmbH ","Krefelder Str. 85 ",Düsseldorf,40549,"0211-50 65 37 0","0211- 50 65 37 -30",info@unique.de
162," Zalando GmbH ","Sonnenburger Str. 73",Berlin,10437,,"+49 (0)30 2759 46 93",service@zalando.de
163,"ZWILLING J.A. Henckels AG","Grünewalder Strasse 14-22","Solingen ",42657,"+ 49 (0) 212 -0","+ 49 (0) 212 - 88 2 300",info@zwilling.com
164,innovas,"Alsterstrasse 2",Hamburg,20354,"040 37 86 26 - 7000","040 37 86 26 - 7222",info@innovas.de
165,"Sandvik Materials Technology Deutschland GmbH","Heerdter Landstraße 243",Düsseldorf,40549,"0211 502 74 04","0211 502 7291",
166,"Amprion GmbH ","Rheinlanddamm 24",Dortmund,44139,0231/5849-0,0231/5849-14188,
167,"Dortmunder Energie- und Wasserversorgung GmbH","Ostwall 51",Dortmund,44135,"49 231.544-0","49 231.544-1130",info@dew21.de
168,"Arla Foods GmbH","Wahler Str. 2",Düsseldorf,40472,0211/47231-0,0211/47231-66,info.de@arlafoods.com
169,"REWE DORTMUND Großhandel eG","Asselner Hellweg 1-3 ",Dortmund,44309,"0231/25 00 0","0231/25 00 177",info@rewe-dortmund.de
170,"Überörtliche Gemeinschaftspraxis für Radiologie und Nuklearmedizin Schwerte-Unna-Witten-Hagen-Kamen-Werne","Holbeinstr. 10a",Unna,59423,"0 23 03 / 33 22 33","02303 / 33 22 30",info@radiologie-ukw.de
171,"Aareon Wodis GmbH","Rheinlanddamm 199",Dortmund,44139,"49 231 7751-0",,
172,"ILT Industrie-Luftfiltertechnik GmbH","Sonnenhang 40",Ruppichteroth,53809,"49 (0) 2295/921-0","+49 (0) 2295/6620"," info@ilt.eu "
173,"Bitech AG","An der Schusterinsel 15",Leverkusen,51379," 02171/7230 0",,info@lev.bitech.de
174,"BIXOLON Europe GmbH","Tiefenbroicher Weg 35",Düsseldorf,40472,"0211 - 68 78 54 0 ","0211 - 68 78 54 20  ","info@bixolon.de "
175,"Bofrost* Dienstleistungs GmbH & Co. KG ","An der Oelmühle 6",Straelen,47638,02834-707-0,,service@bofrost.de
176,"Bornheim und Partner","Königsallee 63 / 65",Düsseldorf,40215,"0211.43 69 87-0",,duesseldorf@bornheim.com
177,"BRAND KG","Vollinghauser Strasse 44 ",Anröchte,59609,"(2947) 889-0",,kontakt@brand-group.com
178,"Spenner Zement GmbH & Co. KG","Hüchtchenweg 2",Erwitte,59597,"+49 2943 986-0","+49 2943 986-222",info@spenner-zement.de
180,"BEB Stahlhandel GmbH & Co. KG","Josef-Baumann-Str. 29a",Bochum,44805,"0234 - 89 11 30","0234 - 86 00 22"," info@beb-stahl.de"
181,"Engel & Völkers Commercial GmbH","Stadthausbrücke 5",Hamburg,20355,"49 40 36131-0","49 40 36131-265",info@engelvoelkers.com
182,"x-doc-solution GmbH ","Igepa-Ring 1",Leipzig,04356,"034602 / 61-680","034602 / 61-6892"," info@x-doc-solution.de"
183,"Ceva Tiergesundheit GmbH","Kanzlerstr. 4",Düsseldorf,40472,"0211 - 96 597 15",,"cevadeutschland@ceva.com "
184,"KAD Kongress Agentur GmbH & Co. KG","Hirnbeinstraße 8",Kempten,87435,"0831 / 575326 - 0","0831 / 575326 - 20"," info@kongressagentur.net "
185,"Rheinische Sparkassenakademie ","Kirchfeldstraße 60",Düsseldorf,40217,"0211 3892 01","0211 3892 240"," info@rsgv.de"
186,"Diginet GmbH & Co. KG ","Industriestr. 161",Köln,50999,"+49 2236 886-0","+49 2236 886-699"," office@pixum.com"
187,"cultural service GmbH & Co. KG","Arendahls Wiese Tor 3",Essen,45141,"+ 49 201 8301298","+ 49 201 8301292 ","post@cultural-service.de "
188,"TEBIT GmbH","Zum Schnüffel 6"," Meinerzhagen",58540,"0 23 54/92 95 - 0","0 23 54/92 95 - 95",info@tebit.de
189,"phi-Consulting GmbH","Lise-Meitner-Allee 2",Bochum,44801,"+49 234 438 97 0","+49 234 438 97 29"," info@phi-consulting.de"
190,"DGFP e.V.","Niederkasseler Lohweg 16",Düsseldorf,40457," (02 11) 59 78-0","(02 11) 59 78-14 9 ",info@dgfp.de
192,"Brenntag AG","Stinnes-Platz 1",Mülheim,45472,0208/7828-0,,
193,"Brilon Bondzio Weiser IgmbH","Universitätsstraße 142",Bochum,44799,"0234  971 93 64",,info@bbwgmbh.de
194,"Brüninghoff GmbH & Co. KG","Industriestraße 14",Heiden,46355,"(0) 2867 / 97 39-0 ",,marketing@brueninghoff.de
196,"K.A. Schmersal GmbH + Co. KG","Möddinghofe 30",Wuppertal,42279,"0202 / 6474-0","0202 / 6474-100",
197,"GEERS Hörakustik AG & Co. KG","Otto-Hahn-Straße 35",Dortmund,44227,"0231 / 9760 - 0 ","0231 / 9760 - 100","info@geers.de "
198,"VTA Verfahrenstechnik und Automatisierung GmbH","Johannastr. 2-8",Gelsenkirchen,45899,"(0209) 9515-0","(0209) 9515-106","info@vta.de "
199,"Ormazabal GmbH","Am Neuerhof, 31",Krefeld,47804,"02151 4541 0 ","02151 4541 499 ","vertrieb@ormazabal.de "
200,"Stiftung Mercator GmbH ","Huyssenallee 46",Essen,45128,"+49 201 24522-0","+49 201 24522-44",info@stiftung-mercator.de
201,"Präsenta Promotion International GmbH","Konrad-Adenauer-Str. 72 – 74 ",Solingen,42651,"+49 0212 – 2801 - 0","+49 0212 2801 - 28",info@praesenta.de
202,"Tetenal Europe GmbH","Schützenwall 31-35",Norderstedt,22844,"0049 (0) 40 ? 521 45 - 0","0049 (0) 40? 521 45 ? 296",germany@tetenal.com
203,"CHRIST Juweliere und Uhrmacher seit 1863 GmbH ","Kabeler Straße 4 ",Hagen,58099,,"0 23 31/69 0-83 75 ",info@christ.de
204,"Katharinenhof Hotelgesellschaft mbH & Co. KG","Bahnhofstraße 49",Unna,59423,"02303 920-0","02303 920-444",hotel-katharinenhof@riepe.com
205,"Altmann GmbH & Co. KG","Oeynhauser Straße 97",Löhne,32584,"057 32 / 68 79-0","057 32 / 1 69 19 ",info@altmann-pulverbechichtung.de
206,"Buchen UmweltService GmbH","Emdener Str. 278",Köln,50735,"0221 71 77 0","0221 71 77 110"," info@buchen.net"
207,"Stadtwerke Düsseldorf AG","Höherweg 100",Düsseldorf,40233,"(0211) 821 821","(0211) 821 3821",info@swd-ag.de
208,"Siegwerk Druckfarben AG & Co. KGaA ","Alfred-Keller-Str. 55",Siegburg,53721,02241-304-0,02241-304-777,
209,"Volksbank Gescher eG","Marktplatz 5 ",Gescher,48712,"02542 702-15 ","02542 702-29","stefan.kuckuck@vb-gescher.de "
210,"Hamon Enviroserv GmbH","Ruhrallee 185",Essen,45136,+49-201-24673-100,+49-201-24673-109,info.enviroserv@hamon.com
211,"IBG GmbH & Co. KG",Pferdmengesstr.1,Köln,50968,"0221 / 37 68 2-0 ","0221 / 37 68 2- 20 ",info@ibg-cologne.com
212,"Gerry Weber International AG","Neulehenstraße 8",Halle/Westfalen,"33790 ","05201 185-0","05201 10931",info@gerryweber.de
219,"IKEA Deutschland GmbH & Co. KG","Am Wandersmann 2 - 4",Hofheim-Wallau,65719,"061 92 / 93 99999","061 92 / 93 99998",kontakt.de@ikea.com
191,"Autobahn Tank und Rast GmbH","Andreas-Hermes-Str. 7-9",Bonn,53175,"0228 / 922-0","0228 / 922-4110","kundenkontakt@tank.rast.de "
220,"IKEA Deutschland Verkaufs-GmbH& Co.","061 92 / 93 99998",Hofheim-Wallau,"65719 ","061 92 / 93 99999","061 92 / 93 99998","061 92 / 93 99998"
221,"Werkstatt für Kundenorientierung Vogt & Nelsen GbR","Pivitsweg 7a",Bielefeld,33649,0521-4889371,,cv@wfk-online.de
223,"RWE IT GmbH","Huyssenallee 22-30",Essen,45128,"49 (0) 201/12-066","49 (0) 201/12-21389",
224,"Volksbank Lembeck-Rhade eG","Wulfener Str. 13 ",Dorsten-Lembeck,46286,"0 23 69 / 98 92 - 0","0 23 69 / 98 92 - 99","info@vblr.de "
225,"HOCHTIEF Solutions AG ","Opernplatz 2 ",Essen,45128,"0201 824-0 ","201 824-2777 ",info-solutions@hochtief.de
227,"Metallbautechnik Steffen GmbH","Heidsieker Heide 32",Bielefeld,"33739 ","(05206) 3007","(05206) 3080 / 8132",steffen@metallbau-steffen.de
228,"Sartorius Mechatronics T&H GmbH ","Meiendorfer Str. 205",Hamburg,22145,"(040) 67960-303","(040) 67960383","info@sartorius.com "
229,"EC Harris GmbH","Hammer Straße 17",Düsseldorf,40219,"0211 3112960",,
230,"ASSA ABLOY Sicherheitstechnik GmbH","Bildstockstraße 20",Albstadt,"72458 ","07431 123-0","07431 123-2 40",info@assaabloy.de
231,"Evangelisches Krankenhaus Mülheim a. d. Ruhr GmbH ","Wertgasse 30","Mülheim an der Ruhr","45468  ",0208/309-0,0208/309-2006,info@evkmh.de
232,"ERVIN GERMANY GmbH","Auf dem Bruch 11",Sprockhoevel,"45549 ","02324 9022244","02324 597788","info@ervin-germany.com "
233,"Westcon Group European Operations Ltd. - Deutschland"," Dahlener Straße 570"," Mönchengladbach",41239,"+49 (0) 2166 14464-0","+49 (0) 2166 14464-290",info@de.westcon.com
234,"KNAUF PERLITE GMBH","Kipperstr. 19",Dortmund,44147,"0231 99 80 01","0231 99 80 138","info@knauf-aquapanel.com "
235,"gerinnungszentrum rhein-ruhr Ambulanz und Fachlaboratorium für Gerinnungserkrankungen/Hämophilie Partnerschaftsgesellschaft: Dr.","Königstraße 13",Duisburg,47051,"+49 (0) 2 03/348 336 0","+49 (0) 2 03/348 336 36","ambulanz@gzrr.de "
237,"R+V Allgemeine Versicherung AG ","Raiffeisenplatz 1",Wiesbaden,65189,"0800 533-1112*","0611 533-4500"," ruv@ruv.de"
238,"LEGOLAND Discovery Centre Deutschland GmbH","Promenade 10",Oberhausen,46047,"01806 – 666 90 220 ",,Oberhausen@LEGOLANDDiscoveryCentre.de
239,"ARCADIA Hotel Schloss Goldschmieding Castrop-Rauxel","Dortmunder Str. 55",Castrop-Rauxel,44575,"(+49) 2305 301 0","(+49) 2305 301 45",info.goldschmieding(at)ahmm.de
240,"Deutsche Rückversicherung Aktiengesellschaft","Hansaallee 177"," Düsseldorf",40549,"0211 4554-01","0211 4554-199",info@deutscherueck.de
241,"Ebner Stolz Mönning Bachem GmbH & Co. KG Wirtschaftsprüfungsgesellschaft Steuerberatungsgesellschaft","Kronenstraße 30"," Stuttgart",70174,,,
242,"Ypsilon 3 GmbH","Broichhof Str. 9",Ratingen,40880,02102-933947-0,02102-93947-47,info@ypsilon3.com
245,"Enrichment Technology Company Ltd. ","Stetternicher Staatsforst ",Jülich,52428,"02461 65 - 0 ","02461 65 - 449 ",info@de.enritec.com
246,"Evonik Tego Chemie GmbH","Goldschmidtstraße 100 "," Essen",45127,"+49 201 173-06","+49 201 173-3000",info-tego@evonik.com
247,"Bird & Bird LLP","Carl-Theodor-Straße 6",Düsseldorf,"40213 ","0211 20056000",,
249,"dm-drogerie markt GmbH + Co. KG","Carl-Metz-Straße 1 ","Karlsruhe ","76185 ",,,
248,"IMA/ZLW & IfU - RWTH Aachen University ","Dennewartstraße 27",Aachen,52068," +49 241 80-911-00","+49 241 80-911-22 ",contact@ima-zlw-ifu.rwth-aachen.de
250,"CENTA Antriebe Kirschey GmbH","Bergische Straße 7",Haan,"42781 ",02129-9120,02129-2790,info@centa.de
